t_s,TAS_m_s,ref_m_s,thrust_N,err_m_s
9.3,58.2633929678379,61.73328,2398.359130859375,3.4698870321620987
9.4,58.259139543449194,61.73328,2410.865478515625,3.4741404565508063
9.5,58.255306001649025,61.73328,2423.17431640625,3.4779739983509756
9.600000000000001,58.25188552174096,61.73328,2435.288330078125,3.481394478259041
9.700000000000001,58.2488713767979,61.73328,2447.20751953125,3.4844086232021
9.8,58.246256843875805,61.73328,2458.93505859375,3.487023156124195
9.9,58.244035309934986,61.73328,2470.475830078125,3.4892446900650143
10.0,58.24220032879358,61.73328,2481.82763671875,3.491079671206421
10.100000000000001,58.240745384567866,61.73328,2492.99365234375,3.4925346154321346
10.200000000000001,58.239664071012214,61.73328,2503.979248046875,3.4936159289877864
10.3,58.2389501647852,61.73328,2514.78173828125,3.494329835214799
10.4,58.23859735627946,61.73328,2525.4052734375,3.4946826437205374
10.5,58.238599477891945,61.73328,2535.854248046875,3.4946805221080552
10.600000000000001,58.23895051206098,61.73328,2546.12646484375,3.4943294879390194
10.700000000000001,58.23964437103457,61.73328,2556.22607421875,3.4936356289654285
10.8,58.24067510883409,61.73328,2566.153076171875,3.492604891165911
10.9,58.24203678255502,61.73328,2575.91552734375,3.491243217444982
11.0,58.243723721362294,61.73328,2585.505859375,3.489556278637707
11.100000000000001,58.245730004563995,61.73328,2594.93359375,3.487549995436005
11.200000000000001,58.24805003238295,61.73328,2604.1982421875,3.4852299676170517
11.3,58.250678191512755,61.73328,2613.30078125,3.482601808487246
11.4,58.253608904015124,61.73328,2622.2451171875,3.4796710959848767
11.5,58.256836725107206,61.73328,2631.031005859375,3.4764432748927945
11.600000000000001,58.2603562044794,61.73328,2639.659912109375,3.4729237955206003
11.700000000000001,58.26416194334585,61.73328,2648.137451171875,3.4691180566541533
11.8,58.26824873298955,61.73328,2656.459228515625,3.4650312670104526
11.9,58.27261122039756,61.73328,2664.634033203125,3.460668779602443
12.0,58.277244348551214,61.73328,2672.657470703125,3.4560356514487864
12.100000000000001,58.28214291602665,61.73328,2680.535400390625,3.45113708397335
12.200000000000001,58.28730191945928,61.73328,2688.2685546875,3.445978080540719
12.3,58.292716382227276,61.73328,2695.855712890625,3.4405636177727246
12.4,58.298381289208734,61.73328,2703.303466796875,3.4348987107912663
12.5,58.30429184766943,61.73328,2710.611572265625,3.428988152330568
12.600000000000001,58.310443258869995,61.73328,2717.779296875,3.4228367411300056
12.700000000000001,58.316830701758164,61.73328,2724.81201171875,3.4164492982418366
12.8,58.323449536784445,61.73328,2731.709228515625,3.409830463215556
12.9,58.330295110143666,61.73328,2738.471435546875,3.4029848898563344
13.0,58.337362786388766,61.73328,2745.102783203125,3.3959172136112343
13.100000000000001,58.3446480707039,61.73328,2751.606201171875,3.3886319292961034
13.200000000000001,58.35214656806504,61.73328,2757.97802734375,3.3811334319349626
13.3,58.359853763072074,61.73328,2764.22265625,3.3734262369279264
13.4,58.36776528904149,61.73328,2770.345458984375,3.3655147109585073
13.5,58.37587696053596,61.73328,2776.340087890625,3.357403039464039
13.600000000000001,58.38418438195533,61.73328,2782.213623046875,3.3490956180446716
13.700000000000001,58.3926833960317,61.73328,2787.966796875,3.340596603968301
